filename,num_sentences,num_bullets,num_matching
1189.txt,8,2,1
1193.txt,6,2,2
1194.txt,5,3,1
1195.txt,5,1,1
1196.txt,8,3,2
1197.txt,8,1,0
1198.txt,5,1,1
1200.txt,8,1,2
1201.txt,7,5,1
1202.txt,3,3,3
1203.txt,7,3,3
1204.txt,6,2,1
1208.txt,4,1,0
1210.txt,6,2,2
1213.txt,4,1,0
1214.txt,6,2,0
1215.txt,5,1,0
1217.txt,5,2,1
1220.txt,6,8,6
1221.txt,4,1,0
1222.txt,4,1,0
1223.txt,5,1,0
1224.txt,4,1,0
1225.txt,5,1,1
1226.txt,7,2,2
1227.txt,10,2,1
1228.txt,7,2,2
1229.txt,6,3,2
1230.txt,7,4,3
1231.txt,6,1,0
1232.txt,7,3,3
1233.txt,8,7,4
1234.txt,14,7,1
1235.txt,5,3,1
1237.txt,9,2,1
1240.txt,14,6,6
1241.txt,6,1,1
1242.txt,8,3,2
1243.txt,11,6,3
1244.txt,7,3,3
1245.txt,3,2,1
1246.txt,6,3,2
1247.txt,6,1,0
1248.txt,5,1,0
1249.txt,6,1,1
1250.txt,5,2,0
1251.txt,4,1,0
1255.txt,13,3,4
1256.txt,6,2,0
1257.txt,13,8,7
1258.txt,4,1,0
1261.txt,5,2,3
1262.txt,7,3,2
1265.txt,10,4,3
1266.txt,5,1,1
1268.txt,9,1,1
1269.txt,5,2,2
1271.txt,4,1,2
1272.txt,7,2,1
1273.txt,9,2,3
1275.txt,5,6,2
1276.txt,6,1,0
1277.txt,6,1,0
1279.txt,7,2,0
1281.txt,6,1,1
1282.txt,6,2,1
1283.txt,6,2,1
1284.txt,11,4,1
1285.txt,7,4,2
1286.txt,8,2,1
1287.txt,6,2,1
1288.txt,6,3,2
1289.txt,5,2,1
1290.txt,12,5,3
1291.txt,5,1,1
1292.txt,13,6,4
1295.txt,7,2,3
1299.txt,4,1,1
1301.txt,4,1,0
1302.txt,6,2,2
1303.txt,9,3,6
1306.txt,8,2,2
1307.txt,12,5,3
1311.txt,7,3,1
1313.txt,6,5,3
1317.txt,7,3,1
1320.txt,9,3,3
1321.txt,3,1,0
1324.txt,5,1,1
1325.txt,7,7,3
1326.txt,8,7,8
1327.txt,4,1,0
1328.txt,6,1,1
1329.txt,7,2,8
1331.txt,7,3,3
1332.txt,5,6,1
1333.txt,8,3,1
1336.txt,5,3,1
1337.txt,10,2,2
1338.txt,4,1,0
1339.txt,6,1,2
1341.txt,7,1,0
1342.txt,5,2,3
1343.txt,8,4,4
1346.txt,9,2,1
1348.txt,12,5,5
1349.txt,6,1,1
1351.txt,5,1,1
1352.txt,6,1,0
1353.txt,5,4,3
1354.txt,5,2,2
1355.txt,5,6,2
1357.txt,5,2,3
1358.txt,5,2,0
1360.txt,7,2,0
1361.txt,7,6,3
1362.txt,5,10,2
1365.txt,5,2,0
1369.txt,5,1,1
1370.txt,8,3,1
1371.txt,5,4,3
1372.txt,7,4,2
1373.txt,6,2,0
1375.txt,2,2,1
1376.txt,6,2,2
1383.txt,9,6,4
1385.txt,6,1,1
1386.txt,12,1,0
1387.txt,5,1,0
1388.txt,5,1,1
1389.txt,4,1,2
1390.txt,6,1,0
1391.txt,6,2,2
1392.txt,7,1,0
1393.txt,10,3,0
1394.txt,5,1,1
1398.txt,6,2,1
1399.txt,5,3,1
1401.txt,2,2,1
1403.txt,8,1,0
1404.txt,9,2,1
1405.txt,6,5,0
1406.txt,6,1,2
1407.txt,5,2,2
1408.txt,7,1,1
1411.txt,7,1,0
1412.txt,6,1,2
1413.txt,6,2,2
1416.txt,13,4,1
1417.txt,8,3,0
1419.txt,5,2,0
1420.txt,2,3,1
1421.txt,7,3,1
1422.txt,7,4,4
1423.txt,6,3,1
1427.txt,6,2,0
1430.txt,6,5,5
1432.txt,6,1,1
1433.txt,5,2,2
1436.txt,13,8,9
1437.txt,8,2,2
1439.txt,5,3,0
1441.txt,7,3,5
1442.txt,4,1,1
1443.txt,8,3,2
1444.txt,8,2,1
1445.txt,11,7,11
1446.txt,4,3,1
1449.txt,14,5,4
1451.txt,7,3,3
1453.txt,5,1,2
1455.txt,6,1,1
